Gmt time,Open,High,Low,Close,Volume
15.02.2017 22:00:00.000,234.580,234.948,233.850,234.726,58.12600000000001
16.02.2017 22:00:00.000,233.945,235.060,233.930,235.045,63.6515
17.02.2017 22:00:00.000,235.045,235.045,235.045,235.045,0
18.02.2017 22:00:00.000,235.045,235.045,235.045,235.045,0
19.02.2017 22:00:00.000,235.045,235.045,235.045,235.045,0
20.02.2017 22:00:00.000,235.527,236.679,235.510,236.406,61.431
21.02.2017 22:00:00.000,236.006,236.530,235.830,236.277,57.96990000000001
22.02.2017 22:00:00.000,236.879,236.890,235.560,236.438,66.0937
23.02.2017 22:00:00.000,235.449,236.779,235.410,236.768,64.5226
24.02.2017 22:00:00.000,236.768,236.768,236.768,236.768,0
25.02.2017 22:00:00.000,236.768,236.768,236.768,236.768,0
26.02.2017 22:00:00.000,236.629,237.300,236.350,237.130,59.71650000000001
27.02.2017 22:00:00.000,236.665,236.940,236.010,236.466,58.269000000000005
28.02.2017 22:00:00.000,238.366,240.310,238.366,239.718,57.829
01.03.2017 22:00:00.000,239.546,239.558,238.208,238.276,67.4611
02.03.2017 22:00:00.000,238.169,238.600,237.730,238.480,63.6316
03.03.2017 22:00:00.000,238.480,238.480,238.480,238.480,0
04.03.2017 22:00:00.000,238.480,238.480,238.480,238.480,0
05.03.2017 22:00:00.000,237.477,238.110,237.010,237.706,53.8421
06.03.2017 22:00:00.000,237.340,237.760,236.760,237.035,57.89979999999999
07.03.2017 22:00:00.000,237.336,237.630,236.400,236.588,75.11049999999999
08.03.2017 22:00:00.000,236.686,237.230,235.740,236.816,82.82860000000001
09.03.2017 22:00:00.000,237.959,238.010,236.590,237.648,89.7986
10.03.2017 22:00:00.000,237.648,237.648,237.648,237.648,0
11.03.2017 22:00:00.000,237.648,237.648,237.648,237.648,0
12.03.2017 21:00:00.000,237.550,237.840,237.240,237.748,43.3315
13.03.2017 21:00:00.000,237.718,237.718,236.187,236.926,51.597300000000004
14.03.2017 21:00:00.000,237.556,239.420,237.285,238.875,82.6428
15.03.2017 21:00:00.000,239.097,239.190,238.100,238.497,67.75720000000001
16.03.2017 21:00:00.000,237.760,237.960,237.060,237.060,51.65
17.03.2017 21:00:00.000,237.060,237.060,237.060,237.060,0
18.03.2017 21:00:00.000,237.060,237.060,237.060,237.060,0
19.03.2017 21:00:00.000,237.030,237.350,236.320,236.740,58.709999999999994
20.03.2017 21:00:00.000,237.490,237.600,233.580,233.790,150.08999999999997
21.03.2017 21:00:00.000,233.700,234.600,233.050,234.270,120.01000000000002
22.03.2017 21:00:00.000,234.030,235.330,233.600,234.000,115.23
23.03.2017 21:00:00.000,234.400,235.030,232.960,233.895,122.62500000000001
24.03.2017 21:00:00.000,233.895,233.895,233.895,233.895,0
25.03.2017 21:00:00.000,233.895,233.895,233.895,233.895,0
26.03.2017 21:00:00.000,231.850,233.908,231.610,233.566,113.72000000000003
27.03.2017 21:00:00.000,233.299,235.796,233.138,235.276,103.91
28.03.2017 21:00:00.000,234.966,235.800,234.716,235.578,90.97999999999999
29.03.2017 21:00:00.000,235.480,236.510,235.268,236.258,76.83
30.03.2017 21:00:00.000,235.880,236.499,235.676,235.718,71.97000000000001
31.03.2017 21:00:00.000,235.718,235.718,235.718,235.718,0
01.04.2017 21:00:00.000,235.718,235.718,235.718,235.718,0
02.04.2017 21:00:00.000,235.857,236.028,233.915,235.337,205.13510000000002
03.04.2017 21:00:00.000,234.946,235.569,234.546,235.517,202.5737
04.04.2017 21:00:00.000,236.256,237.379,234.549,234.758,237.4346
05.04.2017 21:00:00.000,234.939,236.030,234.426,235.375,222.7701
